Scholion,Image,Number
urn:cts:greekLit:tlg5026.e3.hmt:8.190,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.191,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.192,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.193,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.194,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.195,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.196,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.197,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.203,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.204,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.205,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.206,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.207,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.208,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.209,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.210,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.211,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.212,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.214,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.215,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.216,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.217,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.218,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.219,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.220,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.230,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.231,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.232,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.233,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.234,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.235,"",
urn:cts:greekLit:tlg5026.e3.hmt:8.236,"",
